Province/Territory,"Program Stream","Employer ","Address ","Occupation ","Incorporate Status","Approved LMIAs","Approved Positions"
"Newfoundland and Labrador","    High Wage","Fibreglass Works Ltd","Wareham,Centreville,Trinity, NL A0G 4P0","9535-Plastic products assemblers, finishers and inspectors",Unknown,1,5
"Newfoundland and Labrador","    High Wage","Green Bay Fibre Products ltd","King's Point, NL A0J 1H0",7271-Carpenters,Unknown,1,1
"Newfoundland and Labrador","    High Wage","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","0711-Construction managers",Corporation,2,2
"Newfoundland and Labrador","    High Wage","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","0731-Managers in transportation",Corporation,1,1
"Newfoundland and Labrador","    High Wage","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","1221-Administrative officers",Corporation,2,2
"Newfoundland and Labrador","    High Wage","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","1522-Storekeepers and partspersons",Corporation,1,1
"Newfoundland and Labrador","    High Wage","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","2113-Geoscientists and oceanographers",Corporation,5,5
"Newfoundland and Labrador","    High Wage","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","2232-Mechanical engineering technologists and technicians",Corporation,11,14
"Newfoundland and Labrador","    High Wage","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","2241-Electrical and electronics engineering technologists and technicians",Corporation,2,4
"Newfoundland and Labrador","    High Wage","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","2263-Inspectors in public and environmental health and occupational health and safety",Corporation,1,2
"Newfoundland and Labrador","    High Wage","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","2273-Deck officers, water transport",Corporation,9,9
"Newfoundland and Labrador","    High Wage","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","2274-Engineer officers, water transport",Corporation,7,8
"Newfoundland and Labrador","    High Wage","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","6522-Pursers and flight attendants",Corporation,2,2
"Newfoundland and Labrador","    High Wage","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","7237-Welders and related machine operators",Corporation,2,3
"Newfoundland and Labrador","    High Wage","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","7242-Industrial electricians",Corporation,4,4
"Newfoundland and Labrador","    High Wage","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","7302-Contractors and supervisors, heavy equipment operator crews",Corporation,9,11
"Newfoundland and Labrador","    High Wage","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","7371-Crane operators",Corporation,5,8
"Newfoundland and Labrador","    High Wage","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","7384-Other trades and related occupations, n.e.c.",Corporation,20,59
"Newfoundland and Labrador","    High Wage","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","7532-Water transport deck and engine room crew",Corporation,1,3
"Newfoundland and Labrador","    High Wage","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","7612-Other trades helpers and labourers",Corporation,2,4
"Newfoundland and Labrador","   Low Wage","Barry Group Inc","Port de Grave, NL A0A 3J0","9618-Labourers in fish and seafood processing",Corporation,1,12
"Newfoundland and Labrador","   Low Wage","Barry Group Inc","Witless Bay, NL A0A 4K0","9618-Labourers in fish and seafood processing",Corporation,1,12
"Newfoundland and Labrador","   Low Wage","Barry Group Inc.","Corner Brook, NL A2H 3E9","9463-Fish and seafood plant workers",Unknown,2,66
"Newfoundland and Labrador","   Low Wage","Barry Group Inc.","Corner Brook, NL A2H 3E9","9618-Labourers in fish and seafood processing",Unknown,1,12
"Newfoundland and Labrador","   Low Wage","BJH Enterprises Inc.","St. John's, NL A1B 3R4",6322-Cooks,Unknown,1,1
"Newfoundland and Labrador","   Low Wage","Bugden Enterprises","Conception Bay South, NL A1W 3A3","6311-Food service supervisors",Unknown,1,2
"Newfoundland and Labrador","   Low Wage","Burton's Adventure Ltd","St John's, NL A1H 1A1","6311-Food service supervisors",Unknown,1,1
"Newfoundland and Labrador","   Low Wage","CBS FOODS LTD","CONCEPTION BAY, NL A1W 3A6",6322-Cooks,Unknown,1,2
"Newfoundland and Labrador","   Low Wage","GOULDS FOODS INC","PORTUGAL COVE ST PHILIPS, NL A1M 1E3",6322-Cooks,Unknown,1,1
"Newfoundland and Labrador","   Low Wage","I.C. Pizza House Inc.","PARADISE, NL A1L 1S6",6322-Cooks,Unknown,1,2
"Newfoundland and Labrador","   Low Wage","J.Co Holdings Inc.","St. John's, NL A1B 3R2",6322-Cooks,Unknown,1,2
"Newfoundland and Labrador","   Low Wage","Mac Bride Enterprise","Springdale, NL A0J 1T0","6311-Food service supervisors",Unknown,1,2
"Newfoundland and Labrador","   Low Wage","Quinlan Brothers Ltd.","Bay de Verde, NL A0A 1E0","9463-Fish and seafood plant workers",Unknown,2,112
"Newfoundland and Labrador","   Low Wage","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","1522-Storekeepers and partspersons",Corporation,1,1
"Newfoundland and Labrador","   Low Wage","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3",6322-Cooks,Corporation,1,2
"Newfoundland and Labrador","   Low Wage","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","7612-Other trades helpers and labourers",Corporation,1,3
"Newfoundland and Labrador","   Low Wage","Terra Vista Ltd.","Glovertown, NL A0G 2L0","9618-Labourers in fish and seafood processing",Unknown,2,20
"Newfoundland and Labrador","   Low Wage","TORBAY FUN FOODS LTD","ST. JOHN'S, NL A1A 5B2",6322-Cooks,Unknown,1,1
"Newfoundland and Labrador","  Primary Agriculture","J & C Sod Farm Ltd.","Bay Bulls, NL A0A 1C0","8431-General farm workers",Unknown,2,3
"Newfoundland and Labrador","  Primary Agriculture","New World Dairy Inc","St. David's, NL A0N 1X0","8431-General farm workers",Unknown,1,12
"Newfoundland and Labrador","  Primary Agriculture","Sunrise Dairy Ltd","Musgravetwon, NL A0C 1Z0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1,3
"Newfoundland and Labrador"," Global Talent Stream","Bluedrop ISM Limited","St. John's, NL A1C 3S4","2173-Software engineers and designers",Corporation,1,1
"Newfoundland and Labrador"," Global Talent Stream","HeyOrca Inc.","St. John's, NL A1B 3P9","2174-Computer programmers and interactive media developers",Corporation,1,1
"Prince Edward Island","    High Wage","Belgo transport Inc","North Wiltshire, PE C0A 1Y0","7511-Transport truck drivers",Unknown,1,1
"Prince Edward Island","    High Wage","Bulk Carriers (P.E.I.) Limited","Clyde River, PE C0A 1H3","7511-Transport truck drivers",Unknown,2,30
"Prince Edward Island","    High Wage","Great Enlightenment Buddhist Institute Society","Murray River, PE C0A 1W0",7271-Carpenters,Unknown,1,9
"Prince Edward Island","    High Wage","Great Enlightenment Buddhist Institute Society","Murray River, PE C0A 1W0","7291-Roofers and shinglers",Unknown,1,9
"Prince Edward Island","   Low Wage","Atlantic Beef Products Inc.","Albany, PE C0B 1A0","9462-Industrial butchers and meat cutters, poultry preparers and related workers",Unknown,1,1
"Prince Edward Island","   Low Wage","Belle River Enterprises Ltd","Belle River, PE C0A 1B0","9463-Fish and seafood plant workers",Unknown,2,12
"Prince Edward Island","   Low Wage","By the Water Shellfish (2012) Inc","Borden Carleton, PE C0B 1X0","9618-Labourers in fish and seafood processing",Unknown,1,26
